Actual,Predicted
79.21231481,87.140274
27.79707353,35.33467
62.01256173,55.411606
120.4713904,120.81291
34.91709382,35.711353
52.75951872,50.433887
111.0136111,93.5898
17.30213889,19.369976
57.48082888,54.37657
99.33769444,98.662994
116.2539572,116.54323
24.83427918,23.108017
106.6237222,103.73874
141.6773056,154.04651
9.959044118,9.795257
128.5294444,124.89527
26.22127574,29.735405
154.1544444,159.119
93.60490741,94.284645
186.5796111,176.94644
41.41198529,44.871204
87.41398148,89.39757
25.13088034,23.817188
35.4271167,30.198223
63.70574074,60.542637
52.75772059,44.036034
120.4255348,119.984604
22.27343162,24.414719
116.8146389,110.715866
17.6489375,21.305931
15.38210833,14.713723
93.52791667,99.990105
27.03584188,28.37313
114.6953476,119.484474
23.89270023,27.424553
107.5440909,120.6472
126.8190556,130.63463
19.72898897,19.156935
41.46894737,33.161686
0,2.5722342
30.11309402,29.312237
151.8209167,146.89029
133.6290833,132.8731
127.7143316,119.36285
160.48825,168.14902
59.04382353,59.156334
24.26728676,39.808083
32.64157895,31.09888
125.34275,130.985
67.19790123,62.27043
55.29277778,59.30711
21.13291979,21.561213
45.4706865,38.32437
45.74631016,47.810234
87.83728395,85.60401
88.67055556,103.86884
9.101981693,9.537332
57.07568376,43.197414
19.7340389,20.928028
98.33763889,102.13222
121.1590107,122.91179
36.35037037,36.524925
115.48125,104.79564
123.8636631,127.1296
0.095242278,0.14722538
87.6705,94.76067
36.34951872,37.94823
114.4661497,116.311295
147.1539167,139.95891
31.87152137,29.074394
22.59802517,31.481255
117.1708021,119.310745
43.23441648,38.295414
95.57561111,99.79417
44.99988558,41.38502
23.88532479,20.907074
48.26737968,48.90338
60.18526738,54.563362
124.8721658,120.11996
116.0526944,104.00717
14.18218015,15.461271
40.38326203,40.862225
26.13840123,26.387817
21.32094872,24.930786
23.93194508,32.54701
6.960448718,7.153416
94.13404321,93.91356
23.85347826,30.604858
155.1545278,159.17061
33.73676471,33.575733
47.21091912,36.227318
147.4872778,139.12643
91.91166667,92.542175
107.81425,109.26361
37.07487414,39.386395
41.25417112,42.99853
130.105,134.63168
33.03391304,32.560875
21.24768376,17.634346
34.60322654,34.56053
40.34044118,42.138466
101.9124074,87.034424
114.9704278,118.886086
130.486,134.65865
14.58030769,18.327095
100.5895679,99.08802
144.4870556,138.90646
25.35068376,27.617558
110.2487433,118.8095
9.671358974,17.119915
30.26682407,29.754208
21.4995103,21.985058
120.9298128,119.78338
109.5286111,108.502144
97.67094444,99.06584
123.5768333,116.38597
41.34585561,42.52663
19.91808456,19.211365
41.58663616,36.822712
113.2284225,119.526886
81.43469136,81.08674
46.39157754,49.51369
114.2827807,118.67502
83.81319444,99.39547
136.1054722,133.21689
94.23987654,96.88208
83.23376543,88.44196
23.32180882,21.751392
111.5763056,113.454506
61.53635802,62.461727
107.8618611,104.313354
108.1476111,116.89341
39.54654462,40.456158
16.41200427,20.786854
98.95672222,101.576164
4.952752778,3.796382
30.25531985,32.01343
114.005,114.159096
108.5525936,118.73257
49.31373457,57.275333
43.19519451,39.460285
11.50305556,12.23678
38.56572082,35.462322
92.0175,91.348564
66.8804321,60.332054
100.6954012,92.41989
113.2430556,111.68666
162.9646111,168.67816
55.50441358,60.10033
60.14738889,61.66302
92.5466358,93.15666
90.16549383,92.618095
23.81423341,23.072552
20.66153846,21.672318
99.90913889,101.09375
28.30133088,32.30027
121.9841444,117.747665
31.45292647,29.22784
102.8616389,99.04669
65.76929012,60.003838
101.1262834,98.97338
115.8413904,118.86712
158.6785833,167.83066
17.33377574,25.161205
77.00336111,99.51378
82.49296296,92.457146
17.14468376,20.70651
151.2018333,130.00273
18.43936156,22.108425
35.60818376,32.93286
19.41383088,14.5373125
22.20016667,26.755875
16.08913102,15.935309
17.18924332,17.162525
93.12867284,95.00424
92.12333333,91.3224
66.13966049,62.00084
50.47780864,61.532417
135.2006389,130.30423
49.4195679,58.449722
15.03600267,15.473414
36.99974265,36.25711
36.48638444,35.670036
61.32472222,59.92547
129.1812567,120.06049
129.7771925,120.43998
28.04886111,25.83855
20.23324632,23.587433
140.9153333,142.69359
72.33033951,74.026085
107.4332778,102.4329
99.26669753,88.95082
57.56796296,58.32586
124.3679144,119.441345
97.19472222,108.08425
122.580107,119.35545
122.3425278,120.363235
20.36847009,22.21189
35.50558352,33.31004
96.76916667,98.910355
34.98271324,32.506092
128.1008611,121.78483
21.90709402,25.844688
34.03723529,32.87854
91.48019444,95.665665
112.9992246,121.70378
51.53604938,54.39804
59.06091912,60.900433
35.23093822,34.960396
143.01075,136.3756
145.34425,132.58261
118.2908889,112.56088
116.1164439,119.43805
21.76055556,20.024117
97.57345679,94.94279
26.72553309,28.012646
107.5440909,110.62302
164.7266667,162.1834
46.59837607,39.672043
82.8633642,83.99881
89.31888889,91.52586
12.67534188,13.614624
101.0345989,118.11902
112.0525278,105.95388
41.025,42.448753
92.07040123,89.24853
66.19259259,66.607376
88.31351852,91.79875
122.7634759,118.84653
4.982551487,4.839484
28.30133088,31.04626
61.9067284,59.508263
102.5473765,93.463486
26.22989744,26.498203
132.9623611,137.6054
103.195,104.86201
172.2510278,166.02898
25.42394872,21.001816
22.43936397,22.484135
