Strain,Pore Density,Acetone,Methanol,Ethanol,Compressive strength
8.9144875,20,1,0,0,34.52475973
8.94064375,20,1,0,0,35.46633867
8.96430625,20,1,0,0,37.23180778
8.9829875,20,1,0,0,38.91881007
8.99918125,20,1,0,0,40.17425629
9.04028125,20,1,0,0,38.487254
9.06456875,20,1,0,0,38.99727689
9.08511875,20,1,0,0,31.54306636
9.1038,20,1,0,0,27.4628833
9.12185625,20,1,0,0,28.91448513
9.14615,20,1,0,0,30.20915332
9.17105625,20,1,0,0,32.13155606
9.192225,20,1,0,0,31.18997712
9.2096625,20,1,0,0,27.4628833
9.227725,20,1,0,0,28.91448513
9.2451625,20,1,0,0,30.36608696
9.26945,20,1,0,0,32.0923341
9.29435625,20,1,0,0,34.01473684
9.3142875,20,1,0,0,35.1524714
9.3348375,20,1,0,0,35.34864989
9.3541375,20,1,0,0,28.36524027
9.37718125,20,1,0,0,30.24839817
9.39773125,20,1,0,0,31.85693364
9.41890625,20,1,0,0,33.42624714
9.4375875,20,1,0,0,34.64244851
9.47433125,20,1,0,0,35.78020595
9.49736875,20,1,0,0,27.03132723
9.523525,20,1,0,0,28.6398627
9.54594375,20,1,0,0,30.40533181
9.56525,20,1,0,0,31.93540046
9.5826875,20,1,0,0,33.34778032
9.60385625,20,1,0,0,34.01473684
9.627525,20,1,0,0,33.93627002
9.64869375,20,1,0,0,23.18652174
9.668625,20,1,0,0,21.73490618
9.6854375,20,1,0,0,20.47945995
9.70411875,20,1,0,0,20.75408696
9.72778125,20,1,0,0,21.57797483
9.75145,20,1,0,0,23.06881007
9.77324375,20,1,0,0,24.44196796
9.79255,20,1,0,0,25.89356979
9.81434375,20,1,0,0,26.71745995
9.83426875,20,1,0,0,27.42363844
9.8573125,20,1,0,0,29.14988558
9.89405625,20,1,0,0,30.71919908
9.9133625,20,1,0,0,31.85693364
9.93390625,20,1,0,0,32.01386728
9.95819375,20,1,0,0,33.42624714
